Feature,Importance
Temperature(°C),0.3401315743550968
Hour,0.3059823196380795
Solar Radiation (MJ/m2),0.10621272602374016
Humidity(%),0.07570047109925553
Weekday,0.03860960714124275
Seasons,0.035754936784220634
Rainfall(mm),0.027645695651042287
Dew point temperature(°C),0.025660837480934777
Month,0.01260262156729228
Day,0.011405684113121173
Wind speed (m/s),0.010350990963936647
Visibility (10m),0.009344355321678644
Snowfall (cm),0.0005981798603590211
