R_mean,RMSE_mean,MAE_mean,params.loss,params.learning_rate,params.max_leaf_nodes,params.min_samples_leaf,params.max_features
0.9638174500710631,167.91822374516474,100.12153352110423,squared_error,0.03,15,10,0.6
0.9640004965182281,167.61886320788284,99.43626251386806,squared_error,0.03,15,10,0.8
0.96453081236969,166.68956343023746,100.52764459873671,squared_error,0.03,15,10,1.0
0.9637753804843058,167.69439566561692,100.02327075700484,squared_error,0.03,15,20,0.6
0.9634866922681462,168.75585341657154,100.05609506792754,squared_error,0.03,15,20,0.8
0.9625459109972538,170.63262135873939,101.64043264641789,squared_error,0.03,15,20,1.0
0.9643123874279611,167.33750683049792,99.81596947229691,squared_error,0.03,15,30,0.6
0.9638725081039059,168.26266733499185,100.56814899687907,squared_error,0.03,15,30,0.8
0.9636979391516107,168.64269149369554,101.53360166668847,squared_error,0.03,15,30,1.0
0.9689355037752436,156.3919747247547,89.64996594493365,squared_error,0.03,31,10,0.6
0.9676649421872681,159.4456061282946,91.44898649542534,squared_error,0.03,31,10,0.8
0.9676233808326449,159.52336961212504,92.6088181269105,squared_error,0.03,31,10,1.0
0.9683054495136512,157.98965397542494,91.41756888842433,squared_error,0.03,31,20,0.6
0.9687732873326806,156.33846099821997,90.66110716372256,squared_error,0.03,31,20,0.8
0.9665878388304238,161.33958125467694,92.9932472850179,squared_error,0.03,31,20,1.0
0.9687664932314994,157.01466039629295,91.78138669955246,squared_error,0.03,31,30,0.6
0.9669371306972874,161.50509006723192,93.41366907001247,squared_error,0.03,31,30,0.8
0.9668112841176397,161.84215346750753,94.34997212618771,squared_error,0.03,31,30,1.0
0.9697333922274215,154.24750271255724,87.29762639370018,squared_error,0.03,63,10,0.6
0.9688000103270535,155.96774575207436,88.78416300528463,squared_error,0.03,63,10,0.8
0.9682201077822704,158.23394658756686,89.27113429767141,squared_error,0.03,63,10,1.0
0.9690129322205016,155.58207734829045,88.2889224262063,squared_error,0.03,63,20,0.6
0.9684799832850931,157.63633537560523,89.8249434865776,squared_error,0.03,63,20,0.8
0.9677058048080047,159.18712305506023,91.69476755799744,squared_error,0.03,63,20,1.0
0.9681712299697989,157.97847757216118,91.39480107895065,squared_error,0.03,63,30,0.6
0.9681695813312283,158.33747828309782,91.60916148529809,squared_error,0.03,63,30,0.8
0.9680802846370764,157.61290148219487,92.47882517059679,squared_error,0.03,63,30,1.0
0.9651167207728664,165.6149000006131,97.33962640845141,squared_error,0.05,15,10,0.6
0.9645042993830266,166.45700242506962,99.3871156723503,squared_error,0.05,15,10,0.8
0.9651391055933543,164.8936116194171,97.33898704560889,squared_error,0.05,15,10,1.0
0.9657412332999156,163.40434111619874,96.72323569236036,squared_error,0.05,15,20,0.6
0.9656130568613769,163.73466437621101,97.4810570224709,squared_error,0.05,15,20,0.8
0.9649008119984852,165.86975615348848,99.3928054894894,squared_error,0.05,15,20,1.0
0.9661660521352712,162.6727834173978,97.45800008620137,squared_error,0.05,15,30,0.6
0.9651973806705785,164.56180462194735,98.32103857203569,squared_error,0.05,15,30,0.8
0.9650443749126563,166.0735212062839,100.05093198908347,squared_error,0.05,15,30,1.0
0.9687368415580115,156.2593895656449,89.52455782175113,squared_error,0.05,31,10,0.6
0.9686500761120577,156.99880720999025,90.69348083996023,squared_error,0.05,31,10,0.8
0.9681507470302468,157.90419806689192,91.2161969621798,squared_error,0.05,31,10,1.0
0.9689900442305855,155.41529879714875,89.43550855966271,squared_error,0.05,31,20,0.6
0.9684068830583715,157.57409259117188,91.24360441658176,squared_error,0.05,31,20,0.8
0.9679701559287764,158.6079435161321,92.62552438342139,squared_error,0.05,31,20,1.0
0.9679296663681546,158.55086663244012,92.35667242386315,squared_error,0.05,31,30,0.6
0.9684091028751476,157.37636977373737,91.21936972801218,squared_error,0.05,31,30,0.8
0.9675766118838736,159.23991683895733,93.88936192676921,squared_error,0.05,31,30,1.0
0.96857289448902,156.87158731501137,88.23776064473334,squared_error,0.05,63,10,0.6
0.9691334258128389,155.74827921618643,87.85273649235299,squared_error,0.05,63,10,0.8
0.9672897125439448,158.9436983427099,90.06396617598554,squared_error,0.05,63,10,1.0
0.968711717734983,156.24039910970902,88.37440563841429,squared_error,0.05,63,20,0.6
0.968440296038138,157.81859505495441,90.85101783436752,squared_error,0.05,63,20,0.8
0.9682678952089636,157.76976078262092,91.38015733070908,squared_error,0.05,63,20,1.0
0.9680357394685147,158.3067714160862,92.30267561291973,squared_error,0.05,63,30,0.6
0.9675217153097927,159.7120529401356,92.33538345495623,squared_error,0.05,63,30,0.8
0.9665713588974206,161.38267104759132,94.47015683232912,squared_error,0.05,63,30,1.0
0.966629209008158,161.68778341276834,96.25815264624224,squared_error,0.1,15,10,0.6
0.965218980340086,164.09814600985158,97.45515093788634,squared_error,0.1,15,10,0.8
0.9657104933229512,164.099737125419,96.93884595304755,squared_error,0.1,15,10,1.0
0.9660706400772998,163.3167424538944,97.22828569796471,squared_error,0.1,15,20,0.6
0.9656031027756695,163.53879237494215,97.59864346996429,squared_error,0.1,15,20,0.8
0.9662072113183132,162.98639410971745,97.57101789179362,squared_error,0.1,15,20,1.0
0.9660828031822204,163.33956475974156,97.34648551390507,squared_error,0.1,15,30,0.6
0.9651957174929615,165.1596932843066,99.09159240910758,squared_error,0.1,15,30,0.8
0.9656859616350824,163.9874498428871,98.42258747960223,squared_error,0.1,15,30,1.0
0.9671731135594083,160.00995668233944,91.7279121214892,squared_error,0.1,31,10,0.6
0.9689835715517653,155.87226870721284,89.92715189757851,squared_error,0.1,31,10,0.8
0.9676128437814084,159.40509731663423,92.71005475465259,squared_error,0.1,31,10,1.0
0.9681496493186079,157.73074372515026,92.73691598607832,squared_error,0.1,31,20,0.6
0.9683596899526536,157.71039074606367,92.03774263290616,squared_error,0.1,31,20,0.8
0.9677219176713882,158.93515251902926,92.88939621197507,squared_error,0.1,31,20,1.0
0.966446470101055,161.78958547649435,95.72924729020474,squared_error,0.1,31,30,0.6
0.9674103397624748,159.8407444258662,94.31213168538804,squared_error,0.1,31,30,0.8
0.9668845679443908,161.25460525391387,94.78480565611451,squared_error,0.1,31,30,1.0
0.9689619866220662,156.24880504737274,89.3022897203948,squared_error,0.1,63,10,0.6
0.9664770113516592,161.78196920536845,92.22741850905591,squared_error,0.1,63,10,0.8
0.9662698938457179,162.3025816480987,91.24831386535378,squared_error,0.1,63,10,1.0
0.9676212153072324,159.26963624265304,91.67085012317852,squared_error,0.1,63,20,0.6
0.9692367550344677,155.78194562116656,90.48116677546956,squared_error,0.1,63,20,0.8
0.9668749021770372,161.20060430083657,93.21920212855663,squared_error,0.1,63,20,1.0
0.9671076140153969,160.9229954672694,95.3292411713186,squared_error,0.1,63,30,0.6
0.9654623456040836,164.56777699860896,95.75555865216509,squared_error,0.1,63,30,0.8
0.965376886550765,164.51688042204174,96.72622151262428,squared_error,0.1,63,30,1.0
