R_mean,RMSE_mean,MAE_mean,params.loss,params.learning_rate,params.max_leaf_nodes,params.min_samples_leaf,params.max_features
0.9697333922274215,154.24750271255724,87.29762639370018,squared_error,0.03,63,10,0.6
0.9689900442305855,155.41529879714875,89.43550855966271,squared_error,0.05,31,20,0.6
0.9690129322205016,155.58207734829045,88.2889224262063,squared_error,0.03,63,20,0.6
0.9691334258128389,155.74827921618643,87.85273649235299,squared_error,0.05,63,10,0.8
0.9692367550344677,155.78194562116656,90.48116677546956,squared_error,0.1,63,20,0.8
