params.gamma,R_mean,RMSE_mean,MAE_mean
0.01,0.8031650895048267,383.5194658667872,255.94682633578216
0.1,0.8799269093021751,301.15891168293365,184.73095315468444
0.5,0.8985492070326978,279.6103599930553,174.25024352308333
scale,0.872074630054442,310.6640268217724,192.4390538906214
