params.epsilon,R_mean,RMSE_mean,MAE_mean
0.01,0.8632982554171532,318.7948546183139,201.77627204584667
0.05,0.8636004237226975,318.58972301916117,201.73735855273776
0.1,0.8633881977807555,318.8299956359363,202.01167707954409
