params.C,R_mean,RMSE_mean,MAE_mean
100,0.8371934438624464,352.7380048500789,227.98307599755478
500,0.8643341953039608,316.9138253719714,199.9321526277796
1000,0.8737528488149678,305.5176905499356,191.6219323714796
1500,0.8784353479127666,299.78324359256254,187.8299159073574
