Execucao,R,RMSE,MAE
1,0.9786440330788397,132.4183095710264,44.43713287699077
2,0.9790953482609911,130.82868934954655,44.08589014531041
3,0.9768312379758739,137.90733442783014,46.50363335224382
4,0.9777885391742941,135.39600898388534,46.56610356052915
5,0.9775821573806233,134.8858386562506,46.05819877736682
6,0.9777136172682427,136.52644311063847,46.24312004955448
7,0.9779867268342973,135.67949271488214,45.60563324776453
8,0.9778414838029041,135.99342863843307,45.543665389159244
9,0.9771755169009728,137.21017075700723,46.109657822503884
10,0.9771822200814512,135.76814525722145,45.21957537656162
