Execucao,R,RMSE,MAE
1,0.9858742941497394,113.3424344816351,67.76329908675798
2,0.985187370753694,117.25266810973957,70.47457191780822
3,0.985523763062698,115.16350536785247,69.30741275277235
4,0.9854006792741805,116.91024386862092,69.84898891063274
5,0.9859072380498498,114.08117295062942,68.87013617090673
6,0.9855483364443388,114.35882530389092,69.4724217221135
7,0.9860769157444201,112.09155482002198,66.72486138290932
8,0.9848315297144671,118.01295833803127,69.96981164383561
9,0.9849982870046797,116.35054300769964,68.60636007827789
10,0.9861000800381505,113.15475874049531,67.4749918460535
