Feature,Importance
Temperature(°C),0.3612141260039863
Hour,0.2878412651340631
Solar Radiation (MJ/m2),0.10502014576136319
Humidity(%),0.06836862763799854
Rainfall(mm),0.05767350330758825
Dew point temperature(°C),0.04847798751366866
Visibility (10m),0.03776010610749882
Wind speed (m/s),0.033251206348492324
Snowfall (cm),0.0003930321853408318
