params.n_estimators,R_mean,RMSE_mean,MAE_mean
100,0.9498202359806976,200.19707655821944,119.16390318550839
200,0.9500523330607792,199.68932828458287,118.84697412253969
300,0.9500086735039738,199.95709877443775,118.81528144068517
