R_mean,RMSE_mean,MAE_mean,params.n_estimators,params.max_depth,params.min_samples_split,params.min_samples_leaf
0.9509275456869503,197.88390140266932,115.49109583348832,100,,2,1
0.9509583431863398,198.15026156787516,115.66945417703371,100,,2,2
0.9516077740978222,195.88429125223797,115.29997424749483,100,,5,1
0.9529105910161846,194.36610410047734,114.38129176733794,100,,5,2
0.9518730295685826,195.64088963734508,114.62619667903137,100,20.0,2,1
0.9525426548666408,195.23537273881334,115.29070193206489,100,20.0,2,2
0.9520491871497855,196.0407601625049,115.06505230124239,100,20.0,5,1
0.9516391157241652,196.33052575911347,114.98746858897337,100,20.0,5,2
0.9454267224306852,209.11358469833357,127.42730086445303,100,10.0,2,1
0.9465080049025142,207.55954715348622,126.9442604877444,100,10.0,2,2
0.9458925311765964,207.94394000810706,127.34232518969661,100,10.0,5,1
0.945507331962105,208.21574021766952,127.44171615753987,100,10.0,5,2
0.9520707772575131,195.17585792721943,114.36430728621454,200,,2,1
0.9524178030095861,195.1096900902733,114.55102885682007,200,,2,2
0.9523426830062375,195.19391514538933,114.70434191602882,200,,5,1
0.951730966703147,195.52870538306937,115.12137385535178,200,,5,2
0.9523132802146584,194.7946721204989,113.58299614881386,200,20.0,2,1
0.9529995669591329,193.90243104768462,113.70319451327673,200,20.0,2,2
0.9506046712668151,198.49800028084732,116.06161869702791,200,20.0,5,1
0.9521464300252254,195.82693547169103,114.9285763407523,200,20.0,5,2
0.9463096156389458,207.55561400549564,127.35868480510123,200,10.0,2,1
0.9458787761284924,208.10424693894956,126.86706135416148,200,10.0,2,2
0.9461922047891468,207.5699157294909,127.37031790018338,200,10.0,5,1
0.9456212217304488,209.01195527438503,127.55018779674435,200,10.0,5,2
0.9523775996795381,195.31882383077817,113.77786205415418,300,,2,1
0.9520036447966664,196.47466918398814,114.74918757920332,300,,2,2
0.9519049665855857,196.1457151164264,114.92705692096396,300,,5,1
0.9524365681608714,195.2703553426643,114.55200173977707,300,,5,2
0.9521716194019966,194.65947096230235,113.23715124738547,300,20.0,2,1
0.9513215442291824,197.54342726265574,115.22590805588345,300,20.0,2,2
0.9524941038866725,195.35507906952188,114.99125756545384,300,20.0,5,1
0.9521954131351263,195.54190381238894,115.30652468014418,300,20.0,5,2
0.9453010913101046,208.89100996976907,127.46300261742303,300,10.0,2,1
0.9463127922680739,207.73203049109983,126.96245945713522,300,10.0,2,2
0.9465102005591751,207.08788740687538,126.64035925132063,300,10.0,5,1
0.9450745380346923,209.4648128447829,127.95060611937772,300,10.0,5,2
